Institution,Count AI,Faculty AI,Count Systems,Faculty Systems,Count Theory,Faculty Theory,Count Interdisciplinary,Faculty Interdisciplinary
Iowa State University,3.7,13.0,1.6,16.0,1.3,2.0,1.4,4.0
Stevens Institute of Technology,4.1,8.0,1.6,8.0,1.4,2.0,1.3,3.0
CUNY,2.9,15.0,1.4,11.0,2.3,8.0,1.5,7.0
Emory University,6.1,11.0,1.3,5.0,0.0,0.0,1.4,4.0
Georgetown University,3.1,9.0,1.4,10.0,3.6,5.0,1.0,1.0
NJIT,2.6,13.0,1.8,14.0,1.3,4.0,1.3,5.0
Tufts University,2.6,7.0,1.4,7.0,1.1,1.0,2.1,12.0
University of Arizona,4.5,10.0,1.4,8.0,1.1,1.0,1.5,6.0
University of Oregon,5.9,7.0,1.4,9.0,1.0,1.0,1.2,3.0
Colorado School of Mines,2.2,4.0,1.4,5.0,1.1,1.0,1.7,8.0
Illinois Institute of Technology,3.0,7.0,1.8,11.0,0.0,0.0,1.1,1.0
Syracuse University,2.9,13.0,1.6,11.0,1.1,1.0,1.2,4.0
Temple University,5.6,11.0,1.2,5.0,0.0,0.0,1.4,8.0
Tulane University,3.8,6.0,1.3,3.0,1.2,1.0,1.5,4.0
University of Georgia,2.8,10.0,1.6,9.0,0.0,0.0,1.2,2.0
University of Houston,3.3,8.0,1.2,4.0,1.3,1.0,1.6,6.0
University of Nebraska,1.8,4.0,1.3,10.0,1.4,2.0,2.0,7.0
University of Tennessee,1.9,8.0,1.6,9.0,0.0,0.0,1.5,6.0
Washington State University,2.9,9.0,1.8,13.0,0.0,0.0,1.1,2.0
Brigham Young University,3.1,14.0,1.1,2.0,0.0,0.0,1.6,13.0
George Washington University,1.5,4.0,1.8,9.0,1.1,1.0,1.3,4.0
Lehigh University,3.1,8.0,1.1,5.0,0.0,0.0,1.9,8.0
UNC - Charlotte,2.1,12.0,1.3,5.0,0.0,0.0,2.1,10.0
University of Massachusetts Lowell,2.8,8.0,1.4,10.0,0.0,0.0,1.4,7.0
University of South Carolina,2.8,6.0,1.2,5.0,1.1,1.0,1.6,5.0
Wayne State University,2.8,10.0,1.4,5.0,0.0,0.0,1.3,3.0
Augusta University,1.3,3.0,1.3,6.0,1.6,3.0,1.5,5.0
